x,y,rho,ux,uy,speed
0,57,1.00062407840748,-8.345812060556239e-06,0.001420353161734691,0.001420377680980901
0,58,1.000597357758553,-7.623158545661588e-06,0.001444338621009567,0.001444358738224694
0,59,1.000570479612258,-6.879803846831265e-06,0.001466128387040022,0.001466144528682472
0,60,1.000543526017905,-6.11944026959118e-06,0.001485665721925575,0.001485678324824675
0,61,1.000516578667991,-5.345817468718571e-06,0.001502905026692153,0.001502914534170507
0,62,1.00048971831966,-4.562716947902715e-06,0.001517811977816507,0.001517818835826332
0,63,1.000463024235265,-3.77392725838574e-06,0.001530363588499252,0.001530368241806938
0,64,1.000436573647094,-2.983220059666024e-06,0.001540548196962323,0.001540551085412551
0,65,1.000410441251073,-2.194327216649919e-06,0.001548365384582988,0.00154836693947099
0,66,1.000384698734378,-1.410919017829856e-06,0.001553825827061133,0.001553826467638742
0,67,1.000359414340227,-6.365842398880802e-07,0.001556951082896284,0.001556951213035079
0,68,1.000334652471922,1.251884580233404e-07,0.001557773324038619,0.001557773329068924
0,69,1.000310473340157,8.710276072084415e-07,0.00155633501292578,0.001556335256667978
0,70,1.00028693265733,1.597694269251424e-06,0.001552688530819208,0.001552689352821255
0,71,1.000264081375596,2.302093597821096e-06,0.001546895765105913,0.001546897478095282
0,72,1.000241965468284,2.981286893108746e-06,0.001539027661604743,0.00153903054916272
0,73,1.000220625765027,3.632501196607761e-06,0.001529163743972784,0.001529168058437596
0,74,1.000200097838178,4.253135342635378e-06,0.001517391609345828,0.001517397569944464
0,75,1.000180411916287,4.840758291128083e-06,0.001503806415451249,0.001503814206640291
0,76,1.000161592842649,5.393120494853629e-06,0.001488510356968532,0.001488520127022561
0,77,1.000143660115181,5.908151198647299e-06,0.001471612125395621,0.001471623985215654
0,78,1.000126627946646,6.383946969717989e-06,0.00145322638962713,0.001453240411730838
0,79,1.000110505280431,6.818751644580922e-06,0.001433473320001572,0.001433489537642434
0,80,1.000095295936087,7.21100099047351e-06,0.001412478094051813,0.001412496500778507
0,81,1.000080998906748,7.559262110886138e-06,0.00139037039896548,0.001390390948173602
0,82,1.000067608422002,7.862189349271395e-06,0.001367284100331433,0.001367306704818089
0,83,1.000055113877261,8.118513134327314e-06,0.001343356992226032,0.00134338152392315
0,84,1.00004350049301,8.327229042225363e-06,0.001318730345417395,0.001318756636634752
0,85,1.000032749903397,8.487179938683125e-06,0.001293548637225635,0.001293576479799942
0,86,1.000022839294488,8.597109394236494e-06,0.001267959963192267,0.00126798910821366
0,87,1.000013741381944,8.655858667479885e-06,0.001242116066623781,0.001242146226035487
0,88,1.000005427434544,8.662829344571458e-06,0.001216171528103301,0.00121620238051953
0,89,0.9999978664898438,8.615791984495709e-06,0.001190284801124534,0.001190315983115236
0,90,0.9999910201912775,8.512719586002361e-06,0.00116462087416489,0.001164651985330958
0,91,0.9999848477570923,8.352434494833793e-06,0.001139349753277638,0.001139380368207126
0,92,0.9999793164844617,8.13433763365461e-06,0.001114644544148076,0.001114674224716715
0,93,0.9999743847361372,7.849741087639783e-06,0.001090690279583306,0.001090718526666094
0,94,0.9999699893131642,7.496927602682937e-06,0.001067689657555953,0.001067715977578039
0,95,0.999966088623189,7.076111815395894e-06,0.001045848042709535,0.001045871980596951
0,96,0.9999626721814268,6.581652795170856e-06,0.00102537864292493,0.001025399765710958
0,97,0.999959652321511,5.97941674820812e-06,0.001006546500207484,0.001006564260494373
0,98,0.9999569070076098,5.291042138969942e-06,0.0009896507245603522,0.0009896648684023022
0,99,0.9999544891660246,4.513683684321201e-06,0.0009749556954935748,0.0009749661437792403
0,100,0.9999524365057183,3.600399293347345e-06,0.0009627936354774414,0.0009628003673612406
0,101,0.9999503623930964,2.449307828663546e-06,0.0009537005275432568,0.0009537036727124028
0,102,0.9999481429379139,1.255621706594731e-06,0.0009481553258054975,0.000948156157201544
